Targeting Method,Measure,Vil1,Vil2,Vil3,Vil4,Vil6,Vil9,Vil12,Vil15,Vil19,Vil20,Vil21,Vil23,Vil24,Vil25,Vil29,Vil31,Vil32,Vil33,Vil36,Vil39,Vil42,Vil43,Vil45,Vil46,Vil47,Vil48,Vil50,Vil51,Vil52,Vil55,Vil57,Vil59,Vil60,Vil62,Vil64,Vil65,Vil67,Vil68,Vil70,Vil71,Vil72,Vil73,Vil75
Friend,Betweeness,0.9751807330726419,0.9377256216040517,0.9673841574143425,0.9567734057683948,0.9399471068512065,0.9604412423898574,0.9670121541955856,0.9634279278900819,0.9579428131382383,0.9601683619673469,0.9652339418739923,0.9562804008514233,0.9534924063337793,0.9504101548943045,0.9495531295309908,0.9250224231640761,0.9542522265599618,0.9484049841268226,0.9697700839397291,0.9494673841047525,0.9333085368635644,0.9468431593215142,0.9399997126315,0.9411428951472146,0.9547702332735505,0.9647512942792364,0.9556183569005873,0.9566710421619982,0.958564172839116,0.9079966478968569,0.9716346723982565,0.9424634493510782,0.9370453281560631,0.9358560476225489,0.9506578265353192,0.959266118639418,0.9222539742031883,0.9679531480115161,0.9740977990614591,0.9301904341083027,0.9634445661614541,0.9677486969869277,0.9619106876285164
Pair,Betweeness,0.9658505951402263,0.9296251302415915,0.9556419235403497,0.9488756103471503,0.9377873693922532,0.9552805816181463,0.9577623716757618,0.9539693167104022,0.9485663448921534,0.9515427453271279,0.9526264086329356,0.9466559071751737,0.9314290782271616,0.9514084766615792,0.9481479773511657,0.9119962053109085,0.9490664917203482,0.937073124242879,0.9628853906611393,0.9326141853974683,0.9196690125824851,0.9400631898307994,0.9310269678425196,0.9232547396759893,0.9452275822572066,0.9552619417012734,0.9443705186555716,0.9471360505807014,0.9449776868072343,0.905993938823361,0.9645209463803416,0.9363287669278584,0.9246460505299011,0.9305508795009058,0.936846277038651,0.9483409473506028,0.9156844003165108,0.9530090144363207,0.9601863232345783,0.9205981891499214,0.9531913719416094,0.9465565922038531,0.9499381028119592
Random,Betweeness,0.02224012137511461,-0.0634070815709234,0.002371475620551371,-0.029393069590367825,0.130101532414941,0.012947063809854584,0.0023934423453141197,-0.10075809361567922,-0.052127348546596244,0.09923396412351423,-0.07499837277563672,0.014096342433085534,-0.0672099787666297,0.06798453465920073,0.046111602035904954,0.08755313653290078,0.039641863303798854,-0.1999062126979428,-0.011217959644847841,0.042425277951647786,-0.02534856049097794,0.02463399520922419,0.039033515154408324,0.025168546456854866,-0.15959574447295216,0.008463503504781875,-0.06177617566366178,-0.04834508300648544,0.057755739355572704,-0.1152343862226967,-0.026144346340018134,-0.02677256754360447,0.03267525655274526,-0.003713082789727672,-0.07019876508974322,0.11772915585590644,0.022250409783946545,-0.1342057452396799,0.16839789325146526,0.025043128495812965,0.05255422503189686,-0.011385236257225605,0.10149541001013312
Friend,Degree,0.96746591951902,0.9608335353864131,0.9621605728371578,0.9557841940734356,0.9532880824576694,0.9620634092701038,0.969684193642895,0.959934884939392,0.9615121401635627,0.9742143300786698,0.9529611167349907,0.9628103360438274,0.943521897523689,0.9600306966093101,0.953033865550104,0.940832271628097,0.9546798127398841,0.9321020139901641,0.9703223055463932,0.9551519602175383,0.961305864719766,0.9446692815817423,0.9316198256783575,0.9531392004687469,0.9500077093643127,0.958626981419371,0.9662840883838126,0.9573265225596683,0.9659480873248992,0.9445971544358736,0.962533937200634,0.9475640093857002,0.9450770629793273,0.9614947572662,0.953212748416769,0.9529576099403404,0.9526166264497287,0.9634265760809492,0.9687555070628038,0.962097146912586,0.9544232884288851,0.9564626605356124,0.9698861101976082
Pair,Degree,0.9619980950533688,0.9526274033239764,0.9522751603815,0.9514261204301545,0.9529270726963144,0.9572373591877888,0.9614837216942366,0.9485573161957915,0.9498637613880557,0.9729557604157285,0.9405480948428575,0.9550360623567581,0.9281650520360625,0.9559347269405394,0.9512244815126927,0.9389031361387593,0.9463451380794072,0.92286208703469,0.9639771598681393,0.9466904400736382,0.9488492986467373,0.9353578259525601,0.9179387099244825,0.9399216241732811,0.933714916425807,0.9474697710535377,0.9590511557046336,0.9429753917369573,0.9573925544864842,0.9375365910250134,0.9554578426905457,0.9446774543374803,0.9401302436343852,0.9469637763942833,0.9417932900394812,0.9406458783372078,0.9439779962464768,0.9484343040831719,0.9559703756105792,0.9474327011050937,0.9422934022469146,0.9465809090259487,0.9573678089305074
Random,Degree,0.031765559353289896,-0.05476222977190278,0.015403232845540984,-0.015577489667985372,0.01160362707827579,0.028461511086339795,0.002890369082846639,-0.1006985143556611,-0.0803875683748688,0.09979302180936965,-0.08469973756909449,0.008606837554335632,-0.029489661146204337,0.07134000906070584,0.04772354398104307,0.056740322732637516,0.029283579730096813,-0.16342180913632615,-0.029559531041408373,0.03650741093984681,0.010390442667282085,0.0506700784374896,0.017653301906784217,0.01919113485939674,-0.14139181515091376,0.03529166561185285,-0.058274649671975445,-0.01515819489071641,0.04309682405192622,-0.10440639782020354,-0.032380064669704854,-0.017423297351933077,0.007062900973643375,-0.015111694059083037,-0.09355513940832243,0.08991005876342915,-0.0389538578415306,-0.14684992574825217,0.15146435545047585,0.03769863676563388,0.04065540861100616,-0.02212833226141549,0.09901995878293245
Friend,Eigenvector,0.8839924165902011,0.7828124931257425,0.8551512536144896,0.8411075012645339,0.8428855631446096,0.8746345201149427,0.8533953361772498,0.8455018209595279,0.818650799357764,0.9084579251122422,0.8407013626549709,0.8726636334163028,0.7554154307140863,0.8404325348937963,0.800330126460207,0.6026161329651543,0.805917737439653,0.6814784806674269,0.9195921494595024,0.80630287601441,0.8792076242483556,0.7547329083406037,0.7502637149139454,0.8273526936986819,0.8146945711627988,0.8740233865158095,0.8853370470243332,0.8486022289442402,0.8792363856729627,0.6643284211796067,0.876418862665955,0.8182660370368058,0.737293137702572,0.8064308858237943,0.7483611421541971,0.7980052963348199,0.7563759559496999,0.8967409245252308,0.8860936355737365,0.8513953044482147,0.860472448026842,0.8655711868705684,0.8871802752868146
Pair,Eigenvector,0.8810714122024979,0.767386845811011,0.8433437763364627,0.8434407400128369,0.8487832634521767,0.8828742542188487,0.8479086560839479,0.8343242671455458,0.8041085269000677,0.915338219972032,0.8260260588503692,0.8663710581507286,0.7524256287390718,0.8406531477049336,0.80353288773119,0.6252088197615133,0.8015767056136904,0.6735734655821611,0.9132190606431733,0.8048498387595823,0.8681186936355046,0.7495580261233947,0.7452914801823848,0.8179143603802741,0.7969484873006549,0.8701273385967224,0.8777421627745429,0.8320928940291558,0.8784897328841905,0.6635042856652308,0.8705486702484321,0.8190729485835437,0.7425774938590686,0.7918338503262887,0.739422665071004,0.7876392170678481,0.7515503904186395,0.8809409735348214,0.8773819337595401,0.8409390022329498,0.8483216836136067,0.8696537165499129,0.8696899689399076
Random,Eigenvector,0.027516603354956107,-0.04522970747409209,-0.02585387076152984,-0.008788490241296461,-0.049629088368799874,0.01387784127794101,0.05990828436830711,-0.07800846870856619,-0.13038105822892798,0.13485263736284045,-0.10402516723208699,0.0006369862381270545,0.006534770820057373,0.07838542051251736,0.0018285149448787161,0.06576933483567426,0.008635640931809959,-0.1346184788171617,-0.03927249418459087,0.011421480201709055,0.010105452431946327,0.03830633207817554,-0.015979637594717114,0.018689868565891037,-0.1297116692459913,0.0317487360450843,-0.056593015192962205,-0.02933087264939332,0.06113438405091824,-0.0532358291519293,-0.05034603948342931,0.006044043100131381,-0.05004515601027786,0.008998495408832437,-0.10776505882253672,0.06864687505917413,-0.06181261129052809,-0.16230989170150517,0.10003606800097081,0.04673297574702668,0.049337572363824765,-0.02172900102026183,0.10594896337691548
Friend,Katz,0.5305914539739056,0.2690611393341979,0.13136212559981994,0.6605253693871451,0.8269358538125622,0.6872262882355067,0.6328526839907201,0.6267732524796888,0.18251249951807003,0.8718330649149175,0.5253071502618513,0.5465520150089797,0.3618488509461698,0.43563245116852867,0.2939296991289418,-0.0476376395876416,0.3048461491313,0.19365946551387367,0.5538467525963241,0.2671368602384258,0.7158076868425146,0.3563400271892941,0.18496039879190335,0.22699054698350293,0.472618015562666,0.7247207872473338,0.16891230602122534,0.3512620101965794,0.2847286747787409,0.6329119518333055,0.5699084715553039,0.5093687365558395,0.5582237838102435,0.44969156344191363,0.16912634670637106,0.0958311903986855,0.49246649331602843,0.779793427790905,0.07538432019867312,0.2574299542496365,0.6061783897727008,-0.11350492155318431,0.5991369754622267
Pair,Katz,0.5297094753490056,0.28806746328801786,0.16031090399897202,0.6675732843516234,0.8340959781194491,0.680447815852714,0.6257505903634807,0.6171026117560949,0.16548663035368058,0.8815109343802241,0.5158116950796121,0.5369033020989391,0.3823527582005204,0.45093620559417413,0.2989019194932668,-0.08269614575728669,0.3075296304194045,0.19616705226512665,0.5577056974881665,0.27762437262255013,0.7089403645426038,0.3394320384625252,0.17739266043011748,0.20447383274887032,0.46604651746774745,0.7315726246721652,0.1816337327809867,0.350641666623614,0.2750798454913011,0.6223363198987873,0.5672862777329553,0.5166972536703128,0.5683450506624923,0.4496966312555045,0.1639770141611571,0.0739253210356196,0.4803204785157227,0.7557005722682453,0.08579709186647744,0.258708774791312,0.5975065298635825,-0.13019268642122683,0.5963395481768521
Random,Katz,0.03703255950178842,0.014542777880415535,0.12734288807241048,0.006059552118778288,-0.06212065811597993,0.02708975588756682,0.12726765412021696,-0.03860268575260242,-0.0850939733890711,0.1350693202445326,-0.132923583485025,-0.03850734847517642,0.04187911788513176,0.13867762873490572,0.06353062432302733,0.02191916922937488,-0.02505327388311823,-0.13317504930522336,-0.07438465580917182,0.0199228743713921,0.04155454543288538,0.05080251574801246,0.0480762782821557,0.010078573938403484,-0.09355953240992011,0.050930024030082705,-0.043995037682960016,-0.00491240874134022,0.0467326722008048,-0.035062927162684145,-0.05692271081025093,-0.02325390768992436,-0.013309288280216417,0.0386177270463592,-0.08775066590335975,-0.014609532327738142,-0.0369122509380115,-0.15422533346003384,0.14897382527504238,0.02286278265370277,0.04705618760221121,0.0001139499961524258,0.14284847521773084
Friend,Page Rank,0.9788762047002182,0.9771954043407578,0.9815359266181657,0.9758014947626676,0.9720866731580622,0.9760332361597045,0.9814732909256824,0.9741977564286753,0.9778497757455051,0.9824421142493244,0.9737414862173199,0.9772546878871179,0.9652207772880996,0.975184334206644,0.9728317981968545,0.9784307680812648,0.976783236861324,0.9691087829195755,0.9816078349730916,0.9749739340687664,0.9787704550030041,0.9682619746593227,0.9637130232965976,0.9726331825400574,0.9711006430537175,0.9725114456794871,0.97800147401086,0.9771240113137755,0.9813138136976521,0.970694355426503,0.9767079021883041,0.9728170610190473,0.9733224639721035,0.9772968841727444,0.9748546206297705,0.9742567556999467,0.9755649196263022,0.9771664561585144,0.9806446043898239,0.9785698147000124,0.9736764356797974,0.977616135611994,0.9802711960088273
Pair,Page Rank,0.9718358024927853,0.9697904735409357,0.9718889654973416,0.967897085837758,0.9650491022312944,0.9690600583077749,0.973251688347482,0.9629474965069316,0.9669623860240217,0.9772577837915428,0.9626060555012776,0.9669586272726919,0.9481031531855831,0.9697834840224394,0.9693640467184881,0.9694485086344241,0.9680268811582551,0.9594742942810651,0.9749826246842439,0.9648900766115646,0.9667142578122113,0.9582017738307813,0.9506120988206007,0.9588914812948431,0.9553749126248874,0.9598450387780206,0.9688973583473781,0.9616315045438477,0.9716116370719419,0.9622489502389906,0.9684947108609838,0.968128753111505,0.963651417959281,0.9646481134326255,0.9604477346993995,0.9623366401513925,0.964141944275484,0.9597098207709499,0.9663358914661904,0.9638438414765411,0.9611257779508685,0.9662357461379468,0.9664664932149937
