Targeting Method,Measure,Vil60 N=356,Vil59 N=329,Vil52 N=327,Vil71 N=298,Vil65 N=297,contacts-prox-high-school-2013 N=327,inf-euroroad N=1174,bt.csv N=692,swingers N=96,Karate N=34,kor.2015.mers.1.00 N=186,uni_email N=1133,contacts-prox-high-school-2013-attr N=327,sgp.2003.sars.1.00 N=172,law_firm N=71,fb-messages N=1899,soc-hamsterster N=2426,webkb-wisc N=265,usa.2020.covid.6.00 N=92,primary-school-proximity N=242,KKI N=2238,infect-hyper N=113,infect-dublin N=410,fb_friends.csv N=800,high_tech_company N=21,usa.2009.flu.1.00 N=286,soc-firm-hi-tech N=33,physician_trust N=241,7th_graders N=29,aves-weaver-social N=445,kidnappings N=351,email_company N=167,moreno_taro N=22
Friend,Betweeness,0.913873329126552,0.9153806818867158,0.9298036775663109,0.9148634046516673,0.9283201741303536,0.7389671212022447,0.4617549535526697,0.8709357869661472,0.7840976365874681,0.8232696547044733,0.6176145455181841,0.8988359807991505,0.7702101310860056,0.6596234310721919,0.7090758781679227,0.8724773965790498,0.5178483818901175,0.6663963834614371,0.6661537308103997,0.8082475353275055,0.7145184007605998,0.9226917326937084,0.7049610030937997,0.8649378785683377,0.5942091563412876,0.7138062402245825,0.9266197701048118,0.7127555871880928,0.8192879726355244,0.7168613810237359,0.5484643577840898,0.9551305050044051,0.48555435624766435
Pair,Betweeness,0.8256220359507629,0.8295123124592108,0.8494697347987374,0.8079512314306109,0.8461159709075756,0.5038221244879959,0.37769924328419635,0.6986951792248157,0.6382466729774983,0.5433765995904389,0.5951596841324505,0.8295057926151722,0.6023465911323305,0.6425200513955536,0.43234487346622463,0.8062881699544503,0.49651714883368675,0.666202004996663,0.6415224039225748,0.5159279078399746,0.6134197734230536,0.6306004996041374,0.5841113262798574,0.7443413442132213,0.506894597686799,0.6640301020287023,0.5243279448902243,0.6001818428812115,0.5531139933391631,0.59616275769951,0.5338831289543701,0.8400283411782483,0.12091344236374517
Random,Betweeness,0.11621128628805599,0.21123473816041813,0.04339239989961693,0.015885269032545033,0.12915784695004423,-0.027611849592545798,0.033803092964056695,0.0363401264131895,-0.0663358399329019,0.119259115899987,0.09978582984475551,0.017981040134979826,-0.08808880647563967,-0.02056534026570612,0.22459347577527217,0.061071251737096016,0.007706327517153751,0.0447949204722389,-0.18238831471096248,0.07383239464934628,0.013137940772725913,-0.07684602418471505,0.010425088184441678,-0.03781331824532508,-0.4235934670692955,-0.04282756342714205,0.07173985162253556,0.028980081682726616,-0.08154816368680504,-0.06536869614340772,-0.026235148375104614,-0.04231914160200927,-0.30085106553968466
Friend,Degree,0.9150419550644984,0.9191596427920248,0.9356237432657667,0.93859134432546,0.9241490159841254,0.7609832226941863,0.716600987875107,0.871828393078066,0.7371051085983112,0.8900723475919269,0.618264944133769,0.8810707664667279,0.7659442752887453,0.6751199501485393,0.7310334974126779,0.8449671698036564,0.514009849389778,0.7288440137703025,0.6747633771782687,0.8306347837425992,0.7217055606650856,0.918988758599806,0.7149180706383814,0.8052195920477416,0.6485711962856862,0.8849579095378924,0.9159100947583156,0.8377396825167904,0.815301559728515,0.6565817995599098,0.5850372345130831,0.9273894420955183,0.7344128455679829
Pair,Degree,0.8281162177523071,0.8260519836277559,0.8576665351860359,0.8298590605856877,0.833607369623366,0.542884890766096,0.6010233294009146,0.6644269120486005,0.5335504483193164,0.5726051958831517,0.5957104191606648,0.8013124804598527,0.5972855530857543,0.6583481603757152,0.33512847906432197,0.7898348676217973,0.46917595975105414,0.7142661710648043,0.648735540331859,0.49473262750176183,0.6206153356784565,0.6265588584851475,0.5756205127073779,0.6940455678190768,0.5175901889514629,0.8046465762587968,0.5269069670117207,0.6936923402963509,0.6237419445574715,0.4912186654930105,0.5743015475566976,0.8104027427427757,0.3323764303177691
Random,Degree,0.11802842661257612,0.24877675535357965,0.030671686659776074,0.04091121056272837,0.16791918230946115,-0.02923651435866212,0.005565996619382153,0.02730190358810003,-0.14317271913777033,0.1746159956978122,0.09823687021330749,0.010534605836107543,-0.05602449807476102,-0.019658657823095584,0.13565081342949167,0.05658270677010325,0.0035134839265563754,0.06598260791035734,-0.17161832176499364,0.029412454592923423,-0.00243589775524214,-0.08879101548892603,-0.08874523264950664,-0.06076647026781509,-0.4377883054541468,0.012886110877759307,-0.04113111506294446,-0.018310369094074175,0.11709689578516219,-0.056196321722518795,-0.013056973967278916,-0.002745464247603937,-0.3378444087213031
Friend,Eigenvector,0.7028916656634497,0.7955344447949111,0.857755663418873,0.8297529112551404,0.7725398270990786,0.6432519947613272,0.04633918575966399,0.8650597692851059,0.421535159511636,0.51598348756627,-0.24662923013338814,0.6726801896085967,0.6441303095956816,-0.30074697080893625,0.6918796461850705,0.7199601358768156,0.1852717037985292,0.1388085503313483,-0.05025200645067664,0.8166638803632388,-0.03624172880751411,0.9066403240636732,0.33802856875241005,0.5815209210266953,0.6456248445679708,0.15020335728360004,0.8365132914126012,-0.13034934114144622,0.6923786903910909,0.0285651621105055,-0.3763976739256017,0.9131585343756582,0.35627473928367465
Pair,Eigenvector,0.6674218310043483,0.7005269153370373,0.7567996182212445,0.721879192979363,0.6854336980975284,0.46128250352230915,0.09296617932899189,0.6577229391793947,0.3027876491089739,0.28914528844445975,-0.3966297031424984,0.6188199428550262,0.4977712003471442,-0.37767931996770254,0.2758305782737471,0.6865176900808344,0.22195309150128023,0.17741461063482605,-0.06460011874450675,0.46234792218895443,-0.04315819718541695,0.6218388610450329,0.25766676817447776,0.5078436223599747,0.5560122912611012,0.17278011356504283,0.4166900938627351,-0.13104853642303646,0.5544059218671098,0.02446793180288106,-0.3681906003341523,0.789244720322008,0.24858472618477662
Random,Eigenvector,0.1463413848505322,0.2347161418383864,0.02453907881876403,0.06557145193175434,0.18736954376880383,-0.0232896807006277,0.047645642654892184,0.023251456554499467,-0.19575172746868244,0.16668052708675868,0.1037003899780668,-0.011179037835323162,-0.012171749427706272,-0.044110748308079414,0.08930917256317279,0.04418652177623368,0.0051135214055700795,-0.0693782057801246,-0.10086664206384023,0.011043918557210703,0.03131905939676232,-0.10461475693833153,-0.12663443294687116,-0.019733379698877174,-0.44053720575206734,0.03230625940680109,-0.1759562105310978,-0.02297971580483023,0.19256875194050294,-0.06573308781056193,0.10618985590234285,-0.008303763800749845,-0.4599285982485593
Friend,Katz,0.530920104972208,0.5009459578177875,0.26095072051044227,0.2765634025170347,0.09116886316081395,0.5479736938736827,0.48014369556176273,-0.049504475377807146,0.4546344142083632,0.6493933806911026,-0.24882130043966288,-0.17391700146942615,0.5271898531485505,-0.23480143543384888,0.32692992601774157,-0.040156348701217336,0.011281802836116272,0.0367248544253183,-0.02849219847711137,-0.3352880152126174,0.5265800230047455,0.5774179011148898,0.050992138892885716,0.021054107163657486,0.6456248445679708,0.7505368913610806,0.8387859026638685,0.34268205414841063,0.5794843113632074,-0.08666722360132349,-0.17917819001530597,-0.48669200283955777,0.38572829483653803
Pair,Katz,0.472467958349549,0.44994295140532736,0.29827182796614404,0.22704424858063696,0.0626083615409922,0.3422761242236308,0.43184838205259524,-0.037351602078357186,0.32803323560749326,0.31368246544447126,-0.36999103300064407,-0.15746704312721974,0.39502704265250793,-0.3103561269675876,0.2407187504690926,-0.04542400456143333,0.031432396239820214,0.07409408233237565,-0.04177232113700842,-0.16267664430424036,0.4594184541288026,0.35418600990259275,0.07086120292756284,-0.03440488383198942,0.5560122912611012,0.6960900903371374,0.42244098961672416,0.34356618120400384,0.48139342188002726,-0.07508848536933316,-0.1595868028086539,-0.45081169781793873,0.19909531845462658
