,index,Triangle,Degree,network
0,0,87,15,7th_graders
1,5,162,23,7th_graders
2,7,222,28,7th_graders
3,10,222,28,7th_graders
4,11,77,15,7th_graders
5,13,152,20,7th_graders
6,15,150,21,7th_graders
7,16,98,16,7th_graders
8,18,176,22,7th_graders
9,20,118,17,7th_graders
10,21,141,19,7th_graders
11,25,128,18,7th_graders
12,26,130,18,7th_graders
13,1,125,20,7th_graders
14,4,127,19,7th_graders
15,2,25,8,7th_graders
16,3,42,11,7th_graders
17,6,20,7,7th_graders
18,9,32,9,7th_graders
19,14,156,20,7th_graders
20,19,126,18,7th_graders
21,8,104,20,7th_graders
22,22,137,19,7th_graders
23,27,111,18,7th_graders
24,28,106,17,7th_graders
25,23,144,20,7th_graders
26,12,118,18,7th_graders
27,17,25,8,7th_graders
28,24,24,8,7th_graders
0,0,8,5,random_7th_graders
1,1,3,3,random_7th_graders
2,2,24,10,random_7th_graders
3,3,15,8,random_7th_graders
4,4,26,12,random_7th_graders
5,5,15,9,random_7th_graders
6,6,29,11,random_7th_graders
7,7,86,22,random_7th_graders
8,8,51,17,random_7th_graders
9,9,62,18,random_7th_graders
10,10,62,17,random_7th_graders
11,11,53,17,random_7th_graders
12,12,39,13,random_7th_graders
13,13,36,13,random_7th_graders
14,14,29,13,random_7th_graders
15,15,22,10,random_7th_graders
16,16,21,10,random_7th_graders
17,17,23,11,random_7th_graders
18,18,15,9,random_7th_graders
19,19,15,9,random_7th_graders
20,20,17,9,random_7th_graders
21,21,9,7,random_7th_graders
22,22,13,10,random_7th_graders
23,23,8,7,random_7th_graders
24,24,12,9,random_7th_graders
25,25,11,7,random_7th_graders
26,26,12,7,random_7th_graders
27,27,7,8,random_7th_graders
28,28,12,7,random_7th_graders
0,0,1,2,aves-weaver-social
1,1,1,2,aves-weaver-social
2,355,1,2,aves-weaver-social
3,2,6,5,aves-weaver-social
4,6,6,4,aves-weaver-social
5,7,6,5,aves-weaver-social
6,10,6,4,aves-weaver-social
7,356,6,4,aves-weaver-social
8,357,1,3,aves-weaver-social
9,3,1,3,aves-weaver-social
10,9,4,5,aves-weaver-social
11,358,0,2,aves-weaver-social
12,4,3,3,aves-weaver-social
13,8,3,4,aves-weaver-social
14,359,3,3,aves-weaver-social
15,5,0,2,aves-weaver-social
16,360,0,2,aves-weaver-social
17,361,0,1,aves-weaver-social
18,11,3,3,aves-weaver-social
19,12,3,3,aves-weaver-social
20,14,6,6,aves-weaver-social
21,362,3,3,aves-weaver-social
22,13,3,3,aves-weaver-social
23,15,3,3,aves-weaver-social
24,363,3,3,aves-weaver-social
25,16,6,4,aves-weaver-social
26,17,6,4,aves-weaver-social
27,18,6,4,aves-weaver-social
28,19,6,4,aves-weaver-social
29,364,6,4,aves-weaver-social
30,20,42,12,aves-weaver-social
31,29,11,7,aves-weaver-social
32,31,39,12,aves-weaver-social
33,34,36,9,aves-weaver-social
34,36,70,17,aves-weaver-social
35,40,36,9,aves-weaver-social
36,42,36,9,aves-weaver-social
37,45,4,5,aves-weaver-social
38,47,95,27,aves-weaver-social
39,49,42,12,aves-weaver-social
40,52,65,16,aves-weaver-social
41,365,6,4,aves-weaver-social
42,366,37,11,aves-weaver-social
43,21,28,8,aves-weaver-social
44,22,30,9,aves-weaver-social
45,25,35,12,aves-weaver-social
46,27,31,9,aves-weaver-social
47,30,28,8,aves-weaver-social
48,32,28,8,aves-weaver-social
49,367,3,3,aves-weaver-social
50,23,10,5,aves-weaver-social
51,37,22,9,aves-weaver-social
52,39,23,10,aves-weaver-social
53,53,15,7,aves-weaver-social
54,368,10,5,aves-weaver-social
55,24,10,5,aves-weaver-social
56,38,10,5,aves-weaver-social
57,48,15,7,aves-weaver-social
58,35,3,3,aves-weaver-social
59,369,3,3,aves-weaver-social
60,26,3,3,aves-weaver-social
61,33,3,3,aves-weaver-social
62,370,3,3,aves-weaver-social
63,28,1,2,aves-weaver-social
64,51,1,2,aves-weaver-social
65,44,3,3,aves-weaver-social
66,371,3,3,aves-weaver-social
67,41,3,3,aves-weaver-social
68,43,6,5,aves-weaver-social
69,50,6,5,aves-weaver-social
70,46,3,3,aves-weaver-social
71,372,3,3,aves-weaver-social
72,54,1,3,aves-weaver-social
73,57,1,2,aves-weaver-social
74,373,1,2,aves-weaver-social
75,374,0,1,aves-weaver-social
76,55,7,5,aves-weaver-social
77,56,7,5,aves-weaver-social
78,64,6,4,aves-weaver-social
79,65,6,5,aves-weaver-social
80,375,1,2,aves-weaver-social
81,376,6,4,aves-weaver-social
82,58,1,3,aves-weaver-social
83,63,1,2,aves-weaver-social
84,377,1,2,aves-weaver-social
85,378,0,1,aves-weaver-social
86,59,3,3,aves-weaver-social
87,60,3,3,aves-weaver-social
88,61,3,3,aves-weaver-social
89,62,3,4,aves-weaver-social
90,66,1,4,aves-weaver-social
91,68,1,2,aves-weaver-social
92,69,6,5,aves-weaver-social
93,73,1,4,aves-weaver-social
94,379,0,1,aves-weaver-social
95,67,0,1,aves-weaver-social
96,380,0,2,aves-weaver-social
97,70,6,4,aves-weaver-social
98,71,9,7,aves-weaver-social
99,72,6,5,aves-weaver-social
100,381,6,4,aves-weaver-social
101,436,3,3,aves-weaver-social
102,382,0,1,aves-weaver-social
103,383,0,1,aves-weaver-social
104,74,3,3,aves-weaver-social
105,76,13,8,aves-weaver-social
106,87,13,7,aves-weaver-social
107,88,13,7,aves-weaver-social
108,75,14,6,aves-weaver-social
109,77,10,5,aves-weaver-social
110,79,26,9,aves-weaver-social
111,81,33,11,aves-weaver-social
112,84,26,9,aves-weaver-social
113,85,22,8,aves-weaver-social
114,384,14,6,aves-weaver-social
115,78,22,8,aves-weaver-social
116,86,16,9,aves-weaver-social
117,89,22,8,aves-weaver-social
118,385,22,8,aves-weaver-social
119,80,10,5,aves-weaver-social
120,82,10,5,aves-weaver-social
121,83,10,5,aves-weaver-social
122,386,10,5,aves-weaver-social
123,301,6,5,aves-weaver-social
124,302,6,4,aves-weaver-social
125,438,6,4,aves-weaver-social
126,90,4,4,aves-weaver-social
127,91,6,8,aves-weaver-social
128,93,4,4,aves-weaver-social
129,95,3,3,aves-weaver-social
130,387,3,3,aves-weaver-social
131,295,11,10,aves-weaver-social
132,435,1,2,aves-weaver-social
133,92,3,4,aves-weaver-social
134,205,19,8,aves-weaver-social
135,208,5,5,aves-weaver-social
136,219,19,8,aves-weaver-social
137,388,0,1,aves-weaver-social
138,94,0,1,aves-weaver-social
139,389,0,1,aves-weaver-social
140,96,5,4,aves-weaver-social
141,109,16,10,aves-weaver-social
142,111,47,19,aves-weaver-social
143,118,59,19,aves-weaver-social
144,390,10,7,aves-weaver-social
145,97,10,5,aves-weaver-social
146,101,17,8,aves-weaver-social
147,108,41,15,aves-weaver-social
148,112,29,11,aves-weaver-social
149,391,10,5,aves-weaver-social
150,98,20,8,aves-weaver-social
151,100,25,9,aves-weaver-social
152,102,34,12,aves-weaver-social
153,104,21,10,aves-weaver-social
154,107,23,10,aves-weaver-social
155,113,26,9,aves-weaver-social
156,116,21,10,aves-weaver-social
157,392,6,4,aves-weaver-social
