# index, _pos
0,"array([-1.84395256, -4.39485906])"
1,"array([-1.83871398, -4.4157802 ])"
2,"array([-1.82100398, -4.41644105])"
3,"array([-1.85383642, -4.4182711 ])"
4,"array([-1.83686918, -4.34933331])"
5,"array([-1.87879425, -4.4125375 ])"
6,"array([-1.81231192, -4.40698482])"
7,"array([-1.8299023 , -4.39728607])"
8,"array([-1.80905046, -4.3976636 ])"
9,"array([-1.81727525, -4.45050231])"
10,"array([-1.83374747, -4.32730702])"
11,"array([-1.85953763, -4.33746109])"
12,"array([-1.83125542, -4.41035551])"
13,"array([-1.81993428, -4.40131255])"
14,"array([-1.84331469, -4.36678285])"
15,"array([-1.90224578, -4.40463404])"
16,"array([-1.84076398, -4.38160809])"
17,"array([-1.83011905, -4.46077375])"
18,"array([-1.84251667, -4.4716676 ])"
19,"array([-1.79946444, -4.40869341])"
20,"array([-1.86880652, -4.43268742])"
21,"array([-1.78935255, -4.42957956])"
22,"array([-1.78288412, -4.39859555])"
23,"array([-1.76708029, -4.37110279])"
24,"array([-1.77965625, -4.33635473])"
25,"array([-1.7779491 , -4.36134618])"
26,"array([-1.82063584, -4.39080227])"
27,"array([-1.8110105 , -4.31165386])"
28,"array([-1.81277183, -4.37802859])"
29,"array([-1.80173079, -4.3712543 ])"
30,"array([-1.78917174, -4.35692546])"
31,"array([-1.78853349, -4.37328718])"
32,"array([-1.81961469, -4.36592481])"
33,"array([-1.74156631, -4.3777102 ])"
34,"array([-1.83772983, -4.40534729])"
35,"array([-1.88693488, -4.36728169])"
36,"array([-1.83041011, -4.37080604])"
37,"array([-1.84822694, -4.38639627])"
38,"array([-1.82043021, -4.35000312])"
39,"array([-1.86590491, -4.41815235])"
40,"array([-1.90034709, -4.42182266])"
41,"array([-1.790636  , -4.40898318])"
42,"array([-1.80422969, -4.43562611])"
43,"array([-1.7914852 , -4.44153456])"
44,"array([-1.80336343, -4.38676155])"
45,"array([-1.76984594, -4.41202042])"
46,"array([-1.82848098, -4.44684938])"
47,"array([-1.84120667, -4.45641031])"
48,"array([-1.87928427, -4.48269305])"
49,"array([-1.84614025, -4.42835982])"
50,"array([-1.7658623 , -4.39828908])"
51,"array([-1.7869806 , -4.45359704])"
52,"array([-1.84877247, -4.43636617])"
53,"array([-1.84645219, -4.35786215])"
54,"array([-1.89765092, -4.46766046])"
55,"array([-1.85494854, -4.39714783])"
56,"array([-1.86096235, -4.4683497 ])"
57,"array([-1.82982219, -4.38614967])"
58,"array([-1.82746412, -4.43471042])"
59,"array([-1.73826027, -4.34056534])"
60,"array([-1.88566204, -4.34899121])"
61,"array([-1.76192681, -4.38275954])"
62,"array([-1.77622936, -4.38737267])"
63,"array([-1.75122733, -4.40906284])"
64,"array([-1.80936621, -4.41711723])"
65,"array([-1.79622459, -4.39786997])"
66,"array([-1.79776148, -4.42087966])"
67,"array([-1.8188279 , -4.43786125])"
68,"array([-1.83843107, -4.43238571])"
69,"array([-1.84038148, -4.44531277])"
70,"array([-1.85722079, -4.35268693])"
71,"array([-1.85624493, -4.37741274])"
72,"array([-1.86309588, -4.36673473])"
73,"array([-1.86208448, -4.40506078])"
74,"array([-1.86500768, -4.45147072])"
75,"array([-1.85811997, -4.44389059])"
76,"array([-1.78851019, -4.38575758])"
77,"array([-1.96559027, -4.38353486])"
78,"array([-1.80478106, -4.4811454 ])"
79,"array([-1.77881444, -4.43012908])"
80,"array([-1.85141959, -4.40657554])"
81,"array([-1.87835092, -4.46406873])"
82,"array([-1.80328998, -4.36063341])"
83,"array([-1.84986281, -4.45252429])"
84,"array([-1.81688616, -4.46102652])"
85,"array([-1.85679485, -4.43140171])"
86,"array([-1.7369803 , -4.42039477])"
87,"array([-1.86814804, -4.39542331])"
88,"array([-1.85426009, -4.47792764])"
89,"array([-1.81031236, -4.42812796])"
90,"array([-1.75373536, -4.49971291])"
91,"array([-1.75359441, -4.35707423])"
92,"array([-1.87409021, -4.44300299])"
93,"array([-1.8265718 , -4.42371066])"
94,"array([-1.80465159, -4.44953681])"
95,"array([-1.87324549, -4.34893112])"
96,"array([-1.67286629, -4.33293118])"
97,"array([-1.79953713, -4.46132593])"
98,"array([-1.82643976, -4.52116908])"
99,"array([-1.79233622, -4.32581203])"
100,"array([-1.88973699, -4.441793  ])"
101,"array([-1.86933201, -4.27605219])"
102,"array([-1.74712778, -4.43929451])"
103,"array([-1.77507831, -4.44550204])"
104,"array([-1.73861996, -4.45804829])"
105,"array([-1.89044405, -4.39192783])"
106,"array([-1.84622342, -4.50604723])"
107,"array([-1.86739424, -4.5131377 ])"
108,"array([-1.82545684, -4.50351426])"
109,"array([-1.8457085 , -4.53501187])"
110,"array([-1.90140955, -4.50913207])"
111,"array([-1.76432712, -4.42747544])"
112,"array([-1.80538177, -4.34466485])"
113,"array([-2.02376563, -4.48925886])"
114,"array([-1.78104448, -4.41909357])"
115,"array([-1.7135462 , -4.31072345])"
116,"array([-1.87108315, -4.37737237])"
117,"array([-1.79553596, -4.28267669])"
118,"array([-1.77414087, -4.30520814])"
119,"array([-1.83290346, -4.28566447])"
120,"array([-1.91592287, -4.38350742])"
121,"array([-1.90452243, -4.27924548])"
122,"array([-1.79139204, -4.48418887])"
123,"array([-1.91728225, -4.43715275])"
124,"array([-1.65632895, -4.3696452 ])"
125,"array([-1.7574396 , -4.24016967])"
126,"array([-1.81647909, -4.17142923])"
127,"array([-1.70745618, -4.39435271])"
128,"array([-1.71063415, -4.52501832])"
129,"array([-1.96223739, -4.42052895])"
130,"array([-1.98622692, -4.22533217])"
131,"array([-2.03302837, -4.28642629])"
132,"array([-1.87909686, -4.55725999])"
133,"array([-1.92239412, -4.31476285])"
134,"array([-1.74889777, -4.15667823])"
135,"array([-1.63826248, -4.4106228 ])"
136,"array([-1.51521364, -4.30646999])"
137,"array([-1.80241192, -4.53803051])"
138,"array([-1.93306327, -4.51714268])"
139,"array([-1.93185063, -4.22115273])"
140,"array([-1.69200592, -4.49173846])"
141,"array([-1.97154187, -4.48715108])"
142,"array([-1.68147428, -4.45398322])"
143,"array([-1.93690387, -4.344979  ])"
144,"array([-1.77327931, -4.52413185])"
145,"array([-1.78234623, -4.59949805])"
146,"array([-1.74286704, -4.71271182])"
147,"array([-1.90367555, -4.53546688])"
148,"array([-1.8578622 , -4.30987415])"
149,"array([-1.97377671, -4.32151579])"
150,"array([-1.76053241, -4.47780537])"
151,"array([-1.675457  , -4.25410585])"
152,"array([-2.01206989, -4.44506986])"
153,"array([-1.93195621, -4.73271501])"
154,"array([-1.38716757, -4.42151704])"
155,"array([-2.01335429, -4.71666567])"
156,"array([-1.52055403, -4.59283911])"
157,"array([-1.55036495, -4.17744931])"
158,"array([-1.93495999, -4.11487276])"
159,"array([-1.6735019 , -4.64138032])"
160,"array([-2.05075899, -4.13101842])"
161,"array([-1.80871628, -4.78073761])"
162,"array([-1.50741167, -4.24205624])"
163,"array([-2.11764127, -4.59130787])"
164,"array([-1.54819027, -4.46679183])"
165,"array([-1.85804103, -4.74322508])"
166,"array([-2.06076226, -4.65555691])"
