# source, target
39,0
39,6
39,17
39,20
39,21
39,22
40,0
40,1
40,6
40,34
41,1
41,3
41,4
41,6
41,8
41,20
42,0
42,1
42,2
42,3
42,4
42,5
42,6
42,17
42,20
42,34
42,35
43,0
43,3
43,4
43,6
43,7
44,0
44,5
44,6
44,15
44,20
44,21
44,22
44,24
45,0
45,1
45,2
45,3
45,4
45,5
45,6
45,7
45,8
45,9
45,14
45,22
46,0
46,1
46,2
46,3
46,4
46,6
47,0
47,1
47,2
47,3
47,4
47,7
48,0
48,1
48,3
48,4
48,5
48,6
48,7
48,22
49,0
49,1
49,6
49,17
49,21
49,25
50,0
50,2
50,3
50,4
50,7
51,1
51,3
51,4
51,5
51,20
51,32
52,0
52,1
52,6
52,9
52,22
52,37
53,0
53,2
53,3
53,4
53,28
54,0
54,4
54,6
54,17
55,0
55,6
56,1
56,2
56,3
56,9
56,20
56,23
56,32
57,3
57,5
57,6
58,1
58,5
58,6
59,1
59,6
60,1
60,6
61,1
61,6
61,20
61,22
61,31
62,0
62,6
62,7
63,2
63,3
63,4
64,17
64,24
65,0
65,4
66,0
66,6
66,22
66,24
67,9
67,22
67,24
68,0
68,18
68,24
69,1
69,20
70,1
70,2
70,3
70,38
71,19
72,1
72,6
72,15
72,30
72,31
73,0
73,7
74,2
74,3
74,7
75,0
75,6
75,25
75,33
76,2
76,17
77,0
77,6
77,9
77,23
77,26
78,0
78,4
78,14
78,24
79,0
79,6
79,17
80,0
80,4
81,5
81,6
81,16
81,19
81,24
81,26
82,4
82,17
82,36
83,0
83,13
83,15
84,1
84,3
84,5
84,17
85,0
85,14
86,11
86,15
86,27
87,0
87,5
87,8
88,0
89,0
89,3
89,4
89,8
89,11
90,0
90,17
90,18
90,29
91,0
91,10
91,12
92,0
92,29
93,6
94,5
94,6
94,20
94,21
94,22
95,1
95,6
