# source, target, weight, layer
0,1,1,1
0,3,1,1
0,7,1,1
0,15,1,1
0,17,1,1
0,20,1,1
0,1,1,2
0,3,1,2
0,7,1,2
0,11,1,2
0,15,1,2
0,1,1,3
1,5,1,1
1,6,1,1
1,20,1,1
1,0,1,2
1,17,1,2
1,20,1,2
1,6,1,3
2,0,1,1
2,1,1,1
2,3,1,1
2,5,1,1
2,6,1,1
2,7,1,1
2,8,1,1
2,9,1,1
2,10,1,1
2,11,1,1
2,13,1,1
2,16,1,1
2,17,1,1
2,19,1,1
2,20,1,1
2,13,1,2
2,18,1,2
2,13,1,3
3,0,1,1
3,1,1,1
3,5,1,1
3,7,1,1
3,9,1,1
3,10,1,1
3,11,1,1
3,15,1,1
3,16,1,1
3,17,1,1
3,19,1,1
3,20,1,1
3,0,1,2
3,1,1,2
3,7,1,2
3,11,1,2
3,15,1,2
3,16,1,2
3,1,1,3
4,0,1,1
4,1,1,1
4,5,1,1
4,6,1,1
4,7,1,1
4,9,1,1
4,10,1,1
4,12,1,1
4,13,1,1
4,15,1,1
4,16,1,1
4,17,1,1
4,18,1,1
4,19,1,1
4,20,1,1
4,1,1,2
4,8,1,2
4,10,1,2
4,13,1,2
4,16,1,2
4,18,1,2
4,20,1,2
4,13,1,3
5,20,1,1
5,1,1,2
5,6,1,2
5,8,1,2
5,11,1,2
5,16,1,2
5,20,1,2
5,20,1,3
6,1,1,1
6,5,1,1
6,10,1,1
6,11,1,1
6,13,1,1
6,16,1,1
6,17,1,1
6,20,1,1
7,1,1,1
7,3,1,1
7,5,1,1
7,6,1,1
7,9,1,1
7,10,1,1
7,17,1,1
7,20,1,1
7,3,1,2
7,20,1,3
8,0,1,1
8,1,1,1
8,5,1,1
8,6,1,1
8,7,1,1
8,9,1,1
8,10,1,1
8,11,1,1
8,13,1,1
8,15,1,1
8,16,1,1
8,17,1,1
8,20,1,1
8,13,1,3
9,0,1,1
9,1,1,1
9,2,1,1
9,3,1,1
9,4,1,1
9,7,1,1
9,10,1,1
9,12,1,1
9,14,1,1
9,15,1,1
9,16,1,1
9,17,1,1
9,18,1,1
9,19,1,1
9,2,1,2
9,4,1,2
9,7,1,2
9,8,1,2
9,11,1,2
9,15,1,2
9,19,1,2
9,17,1,3
10,0,1,1
10,1,1,1
10,6,1,1
10,0,1,2
10,1,1,2
10,2,1,2
10,3,1,2
10,4,1,2
10,7,1,2
10,8,1,2
10,11,1,2
10,12,1,2
10,14,1,2
10,16,1,2
10,17,1,2
10,18,1,2
10,17,1,3
11,6,1,1
11,20,1,1
11,0,1,2
11,3,1,2
11,16,1,2
11,20,1,2
11,20,1,3
12,0,1,1
12,1,1,1
12,4,1,1
12,8,1,1
12,13,1,1
12,17,1,1
12,4,1,2
12,10,1,2
12,13,1,3
13,1,1,1
13,6,1,1
13,17,1,1
13,20,1,1
13,6,1,2
13,14,1,2
13,6,1,3
14,0,1,1
14,1,1,1
14,2,1,1
14,3,1,1
14,4,1,1
14,5,1,1
14,6,1,1
14,7,1,1
14,8,1,1
14,9,1,1
14,10,1,1
14,11,1,1
14,12,1,1
14,13,1,1
14,15,1,1
14,16,1,1
14,17,1,1
14,18,1,1
14,19,1,1
14,20,1,1
14,0,1,2
14,2,1,2
14,4,1,2
14,5,1,2
14,8,1,2
14,10,1,2
14,13,1,2
14,18,1,2
14,13,1,3
15,0,1,1
15,1,1,1
15,9,1,1
15,17,1,1
15,0,1,2
15,1,1,2
15,1,1,3
16,0,1,1
16,1,1,1
16,3,1,1
16,6,1,1
16,20,1,1
16,0,1,2
16,1,1,2
16,2,1,2
16,3,1,2
16,4,1,2
16,5,1,2
16,6,1,2
16,7,1,2
16,8,1,2
16,9,1,2
16,10,1,2
16,11,1,2
16,13,1,2
16,14,1,2
16,15,1,2
16,18,1,2
16,19,1,2
16,20,1,2
16,20,1,3
17,0,1,1
17,1,1,1
17,2,1,1
17,3,1,1
17,4,1,1
17,6,1,1
17,7,1,1
17,8,1,1
17,9,1,1
17,10,1,1
17,12,1,1
17,13,1,1
17,14,1,1
17,15,1,1
17,18,1,1
17,19,1,1
17,20,1,1
17,1,1,2
17,6,1,3
18,0,1,1
18,1,1,1
18,2,1,1
18,4,1,1
18,6,1,1
18,9,1,1
18,10,1,1
18,13,1,1
18,14,1,1
18,17,1,1
18,19,1,1
18,0,1,2
18,1,1,2
18,2,1,2
18,4,1,2
18,10,1,2
18,11,1,2
18,13,1,2
18,14,1,2
18,19,1,2
18,13,1,3
19,0,1,1
19,1,1,1
19,5,1,1
19,7,1,1
19,10,1,1
19,11,1,1
19,13,1,1
19,14,1,1
19,15,1,1
19,16,1,1
19,17,1,1
19,20,1,1
19,10,1,2
19,17,1,2
19,13,1,3
20,1,1,1
20,2,1,1
20,3,1,1
20,5,1,1
20,6,1,1
20,7,1,1
20,11,1,1
20,13,1,1
20,16,1,1
20,17,1,1
20,19,1,1
20,1,1,2
20,11,1,2
20,16,1,2
20,17,1,2
20,6,1,3
