# source, target
105,22
105,32
105,40
105,41
105,43
106,22
106,32
107,5
107,8
107,9
107,13
107,18
107,24
107,27
107,30
107,31
108,0
108,29
108,33
109,0
109,1
109,3
109,7
110,7
110,8
110,9
110,10
111,3
111,7
112,7
113,3
113,11
113,29
113,38
114,25
114,31
114,40
114,41
114,42
114,64
114,78
115,2
116,2
117,31
117,34
117,66
118,2
119,2
120,2
121,5
122,26
122,34
123,5
123,8
123,11
123,24
123,28
123,31
124,5
125,29
126,26
127,26
127,29
127,34
128,9
129,9
130,11
131,7
131,34
132,12
133,16
133,18
133,19
134,16
135,18
136,18
136,27
136,31
137,17
138,17
139,21
140,26
140,29
140,34
141,54
141,59
141,63
141,64
141,68
141,73
142,34
142,82
143,34
144,34
145,34
145,64
145,68
145,103
146,29
146,38
147,31
147,34
147,40
148,29
148,34
149,29
150,29
151,29
152,29
152,34
152,40
153,53
154,29
154,34
155,34
156,29
157,29
158,29
159,26
159,29
160,28
161,28
162,28
163,2
163,4
163,6
163,14
164,30
165,30
166,26
167,25
168,43
169,34
170,26
170,31
170,36
170,41
171,73
172,26
172,31
173,34
174,26
175,38
176,26
176,29
177,26
177,34
178,26
179,26
179,34
180,26
180,34
181,26
181,34
182,26
182,34
183,26
183,34
184,23
184,35
185,33
186,31
186,34
187,33
187,34
188,33
188,38
189,33
189,34
189,38
190,40
191,66
192,66
193,66
194,66
195,20
195,35
195,52
195,61
195,62
195,70
195,71
195,74
195,77
196,31
196,34
196,41
196,46
197,29
198,29
198,34
199,29
200,40
201,34
201,38
202,73
203,14
203,15
204,15
205,72
206,72
207,53
207,56
207,60
207,62
207,65
207,70
207,74
207,77
207,80
207,84
207,85
207,88
207,89
207,90
207,101
207,103
208,72
209,72
210,72
211,39
212,44
213,45
214,45
215,45
216,63
217,57
217,58
217,64
217,67
217,73
218,47
219,48
220,41
221,100
221,103
222,49
223,50
224,50
225,51
226,51
227,16
227,20
227,52
228,55
229,76
229,77
230,76
231,53
231,56
231,60
231,62
231,65
231,70
231,71
231,74
231,77
231,83
231,93
232,70
232,71
233,22
234,34
234,38
234,64
235,64
236,64
237,64
238,64
239,64
240,64
241,53
242,56
243,34
244,69
245,31
245,54
245,73
246,73
247,66
248,66
249,2
249,5
249,6
250,73
251,71
252,79
253,71
254,29
255,70
256,73
257,74
258,68
259,75
260,78
260,86
260,104
261,72
262,72
263,72
264,78
265,78
266,80
267,80
268,80
269,80
270,80
271,80
272,80
273,80
274,80
275,81
276,92
277,82
278,34
278,38
279,82
280,84
281,84
282,84
283,53
284,33
284,34
285,53
286,34
287,95
288,93
289,90
290,91
291,80
291,83
292,83
293,83
294,83
295,83
296,83
297,83
298,83
299,83
300,87
301,64
302,34
303,55
303,97
303,99
304,97
304,99
305,97
305,99
306,97
306,99
307,97
307,99
308,98
309,96
310,96
311,102
312,102
313,66
314,98
315,103
316,29
316,34
316,38
317,31
318,94
319,34
320,34
321,34
322,34
323,34
324,34
325,34
326,34
327,34
328,34
329,34
330,34
331,34
332,34
333,29
333,34
334,31
334,34
335,34
336,34
337,34
338,34
339,34
340,34
341,38
342,34
343,31
344,31
345,76
346,7
347,38
348,52
348,72
348,101
349,37
350,95
