# index, name, _pos
0,E1,"array([ 4.69721231, -2.0472666 ])"
1,E2,"array([ 4.44806661, -2.97223624])"
2,E3,"array([ 2.6345862 , -4.90967325])"
3,E4,"array([ 4.28686718, -2.24611971])"
4,E5,"array([ 3.42672236, -5.13761374])"
5,E6,"array([ 2.61799822, -3.32200719])"
6,E7,"array([ 2.95442139, -4.63727708])"
7,E8,"array([ 3.88330807, -2.47275406])"
8,E9,"array([ 2.85627053, -2.77395007])"
9,E10,"array([ 2.87802328, -3.02799879])"
10,E11,"array([ 3.52951539, -3.30330218])"
11,E12,"array([ 3.53308413, -2.29644748])"
12,E13,"array([6.18145582, 3.78516273])"
13,E14,"array([ 2.1114752 , -2.77228745])"
14,E15,"array([ 3.32621714, -5.50822688])"
15,E16,"array([ 3.74352449, -6.14300754])"
16,E17,"array([0.76632079, 0.24152823])"
17,E18,"array([-1.19529408, -0.28578664])"
18,E19,"array([ 1.68107873, -1.6986122 ])"
19,E20,"array([ 0.65284792, -0.78627082])"
20,E21,"array([0.5009893 , 1.79156794])"
21,E22,"array([ 7.02183767, -1.12490621])"
22,E23,"array([ 1.40576708, -2.34127682])"
23,E24,"array([-0.84980078,  1.69413212])"
24,E25,"array([ 2.49872979, -2.76787969])"
25,E26,"array([ 1.58366529, -1.04744238])"
26,E27,"array([ 3.60831521, -1.44119886])"
27,E28,"array([ 2.10963281, -2.31210295])"
28,E29,"array([ 2.33597091, -3.20343863])"
29,E30,"array([ 4.50656998, -1.34194934])"
30,E31,"array([ 1.82952027, -2.97042507])"
31,E32,"array([ 2.71086943, -1.62942844])"
32,E33,"array([ 1.66072361, -2.32571224])"
33,E34,"array([ 4.74323301, -0.66420621])"
34,E35,"array([ 3.65819939, -0.55833013])"
35,E36,"array([-0.12941768,  2.03484155])"
36,E37,"array([ 3.00172474, -2.14021993])"
37,E38,"array([ 7.48554554, -0.25431827])"
38,E39,"array([ 4.48544751, -0.76525293])"
39,E40,"array([4.78756856, 4.75902773])"
40,E41,"array([ 2.57394706, -1.39530555])"
41,E42,"array([ 2.36907611, -1.52959466])"
42,E43,"array([ 1.74322108, -1.26266125])"
43,E44,"array([ 1.35371865, -2.07406589])"
44,E45,"array([-1.08597681, -1.63323434])"
45,E46,"array([5.07867724, 3.80112203])"
46,E47,"array([ 2.51240729, -0.89182241])"
47,E48,"array([5.06067335, 2.4481126 ])"
48,E49,"array([-0.78160211, -3.44017994])"
49,E50,"array([7.7566813 , 0.43723266])"
