# index, name, _pos
0,1,"array([2.47378689, 0.27431084])"
1,4152,"array([2.45550131, 0.11006205])"
2,932,"array([2.26036931, 0.2856334 ])"
3,2,"array([ 1.94877777, -0.18696078])"
4,5681,"array([ 2.06792703, -0.01147195])"
5,3,"array([2.65565003, 0.11941223])"
6,5,"array([2.55897871, 0.0740627 ])"
7,6,"array([2.06086205, 0.5822817 ])"
8,6756,"array([2.08606238, 0.26262223])"
9,7,"array([2.18140783, 0.40345834])"
10,11600,"array([2.31998338, 0.33798548])"
11,3585,"array([2.16040951, 0.22162325])"
12,9,"array([2.50375408, 0.29341905])"
13,12411,"array([2.31242549, 0.19383186])"
14,10,"array([2.31936064, 0.2975636 ])"
15,1913,"array([2.1255286 , 0.31021829])"
16,13,"array([2.22274807, 0.1044576 ])"
17,9088,"array([2.29316862, 0.24873881])"
18,15,"array([ 2.39663846, -0.0584869 ])"
19,16,"array([2.76985187, 0.02678583])"
20,476,"array([ 2.92907704, -0.02280253])"
21,17,"array([1.56919159, 0.23556001])"
22,4579,"array([1.69795013, 0.28035111])"
23,2007,"array([1.55593588, 0.21936433])"
24,7155,"array([1.71262711, 0.22149875])"
25,19,"array([ 2.56168054, -0.12076068])"
26,20,"array([2.57372391, 0.66273582])"
27,4522,"array([2.4586339 , 0.54910659])"
28,22,"array([2.26360362, 0.10294962])"
29,2004,"array([2.1942516 , 0.23791867])"
30,788,"array([2.15195835, 0.33538948])"
31,4238,"array([2.21474447, 0.13648733])"
32,1084,"array([ 2.10876238, -0.09560432])"
33,6894,"array([2.37736745, 0.31379529])"
34,11083,"array([2.15540931, 0.1758996 ])"
35,23,"array([3.08100237, 0.44475367])"
36,580,"array([3.1956762 , 0.44759081])"
37,2498,"array([2.79598289, 0.34749842])"
38,1802,"array([3.17245576, 0.5118382 ])"
39,5217,"array([3.19340433, 0.49612661])"
40,5170,"array([3.20051241, 0.47372657])"
41,7793,"array([3.17908685, 0.46482881])"
42,1809,"array([3.17164637, 0.48729067])"
43,24,"array([2.23021566, 0.25517015])"
44,1527,"array([2.21397838, 0.22152971])"
45,9643,"array([2.36018755, 0.25120994])"
46,11434,"array([2.23576939, 0.25053388])"
47,11136,"array([2.10921639, 0.28594772])"
48,12401,"array([2.2009579 , 0.23566006])"
49,6508,"array([2.25391847, 0.20238031])"
50,26,"array([2.07105615, 0.33034223])"
51,8935,"array([2.16281494, 0.1915154 ])"
52,8609,"array([2.05798168, 0.31415867])"
53,5872,"array([2.06636527, 0.34591432])"
54,8512,"array([2.01708851, 0.30965186])"
55,4040,"array([2.11523559, 0.26909399])"
56,3109,"array([2.00750442, 0.34597697])"
57,9167,"array([2.06954571, 0.3149343 ])"
58,6041,"array([2.07810131, 0.22099924])"
59,28,"array([ 2.3019542 , -0.22650333])"
60,3019,"array([ 2.25902808, -0.0068297 ])"
61,30,"array([2.30362055, 0.35521535])"
62,7899,"array([2.25336795, 0.22822059])"
63,31,"array([2.31519107, 0.08457211])"
64,6128,"array([2.17704421, 0.18336219])"
65,32,"array([1.66980731, 0.69134872])"
66,8491,"array([1.57363269, 0.79162241])"
67,34,"array([2.52898888, 0.43588849])"
68,989,"array([2.34588917, 0.26670716])"
69,35,"array([ 2.58519182, -0.12617777])"
70,36,"array([ 1.93146432, -0.11314776])"
71,1591,"array([ 2.01941164, -0.13608932])"
72,37,"array([ 2.5074261 , -0.46466304])"
73,2387,"array([ 2.47450131, -0.2985453 ])"
74,39,"array([1.90509887, 0.56235473])"
75,884,"array([2.02914442, 0.37099643])"
76,40,"array([1.6369115 , 0.31100978])"
77,1297,"array([1.94606371, 0.31647067])"
78,41,"array([2.22488535, 0.34275965])"
79,42,"array([2.62506632, 0.16086413])"
80,44,"array([ 2.3606256 , -0.21008773])"
81,1686,"array([2.34054057, 0.02278566])"
82,45,"array([2.3105839 , 0.11026389])"
83,234,"array([2.22447093, 0.23206718])"
84,4834,"array([2.26252256, 0.16528336])"
85,46,"array([2.30226474, 0.14100869])"
86,10376,"array([2.26481095, 0.22851238])"
87,8472,"array([2.2894562 , 0.02419285])"
88,12335,"array([2.21307982, 0.18841384])"
89,6313,"array([2.29425661, 0.16868877])"
90,9975,"array([2.17893267, 0.3441467 ])"
91,48,"array([ 2.71217256, -0.06120735])"
92,49,"array([2.60476799, 0.66239746])"
93,50,"array([2.29683916, 0.57424157])"
94,1759,"array([2.19146328, 0.2663742 ])"
95,52,"array([2.5958164 , 0.28464647])"
96,53,"array([2.34957306, 0.00847689])"
97,8124,"array([2.24277113, 0.17936371])"
98,6765,"array([ 2.29940355, -0.04834923])"
99,54,"array([1.98605922, 0.36811279])"
100,7294,"array([2.02575553, 0.28894264])"
101,10702,"array([1.90256745, 0.38392786])"
102,2473,"array([2.0510692 , 0.35274702])"
103,1448,"array([1.93146165, 0.44270722])"
104,11479,"array([1.83261481, 0.33912183])"
105,12407,"array([1.88274355, 0.3649243 ])"
106,3217,"array([1.93487602, 0.36873558])"
107,2992,"array([2.04619662, 0.29600137])"
108,4743,"array([1.73543548, 0.47361923])"
109,5938,"array([2.01091133, 0.44282295])"
110,9766,"array([1.79977768, 0.44564442])"
111,3890,"array([1.97086812, 0.30984935])"
112,2843,"array([1.97344534, 0.45680273])"
113,2896,"array([2.00125989, 0.34983378])"
114,5732,"array([1.9748884 , 0.35096748])"
115,5272,"array([2.14575134, 0.31199131])"
116,7526,"array([2.13227352, 0.34407824])"
117,7810,"array([2.01230314, 0.3597093 ])"
118,1295,"array([2.00329803, 0.31230522])"
119,1138,"array([1.88377688, 0.32004321])"
120,3587,"array([2.04070604, 0.45127566])"
121,3640,"array([1.94913769, 0.38848879])"
122,3899,"array([1.92739635, 0.39316521])"
123,9009,"array([2.05160081, 0.44330753])"
124,8170,"array([2.01835072, 0.36415113])"
125,11747,"array([1.87360699, 0.35548424])"
126,9247,"array([1.91956612, 0.3893008 ])"
127,1016,"array([1.69339847, 0.48061744])"
128,795,"array([1.95559599, 0.41351052])"
129,11695,"array([2.16884098, 0.24177954])"
130,1949,"array([2.20997581, 0.17280148])"
131,5418,"array([2.08059347, 0.5626926 ])"
132,7943,"array([1.99325372, 0.46401451])"
133,4341,"array([2.10270289, 0.28597613])"
134,721,"array([1.81179211, 0.50408038])"
135,561,"array([2.1215334 , 0.30564838])"
136,6278,"array([1.99497417, 0.34838565])"
137,304,"array([2.11053966, 0.13697858])"
138,6540,"array([2.00695198, 0.38355126])"
139,9185,"array([1.89768181, 0.3908386 ])"
140,11235,"array([1.98916993, 0.37407254])"
141,694,"array([1.95436614, 0.43976836])"
142,3312,"array([1.75444599, 0.4925664 ])"
143,4991,"array([2.08189887, 0.29447105])"
144,1622,"array([2.24129795, 0.29153327])"
145,4939,"array([2.06119249, 0.27459564])"
146,78,"array([2.09563082, 0.26894522])"
147,1430,"array([1.91055621, 0.38854695])"
148,7025,"array([2.1439762 , 0.13588004])"
149,1624,"array([1.79279631, 0.34892721])"
150,10673,"array([1.9691501 , 0.36546617])"
151,4825,"array([1.70251979, 0.60670323])"
152,364,"array([1.93981137, 0.55318989])"
153,6094,"array([2.0390732 , 0.36419798])"
154,9408,"array([2.0111965 , 0.32171985])"
155,808,"array([2.17537185, 0.39084183])"
156,10441,"array([1.97551747, 0.43754194])"
157,7843,"array([2.02272086, 0.31158076])"
158,5297,"array([2.02286674, 0.35131402])"
159,9032,"array([1.9950989 , 0.32500782])"
160,8876,"array([1.90708572, 0.37403079])"
161,12590,"array([2.00319149, 0.40053326])"
162,8983,"array([2.11182121, 0.44141415])"
163,11247,"array([1.98508668, 0.44111496])"
164,10095,"array([1.91733351, 0.48188502])"
165,55,"array([2.08305988, 0.42035199])"
166,10686,"array([2.02598648, 0.47557669])"
167,3780,"array([1.99158899, 0.29564884])"
168,10777,"array([2.10921105, 0.47552218])"
169,12403,"array([2.07667901, 0.27397155])"
170,1898,"array([2.35546819, 0.31526282])"
171,4630,"array([2.0474665 , 0.24829115])"
172,7188,"array([2.01364776, 0.75799482])"
173,56,"array([2.14104131, 0.09710594])"
174,7691,"array([2.21863918, 0.22076946])"
175,4841,"array([ 2.1690173 , -0.06951211])"
176,11930,"array([2.11441036, 0.33273967])"
177,2295,"array([ 2.00215073, -0.04370515])"
178,9291,"array([ 2.24290682, -0.0439008 ])"
179,6236,"array([2.09941949, 0.18291919])"
180,3652,"array([2.02800637, 0.22800659])"
181,57,"array([1.84838425, 0.20312999])"
182,59,"array([2.02979986, 0.51291488])"
183,1319,"array([2.15019496, 0.22554512])"
184,60,"array([2.464126 , 0.3339516])"
185,11326,"array([2.1940681 , 0.19639883])"
186,10196,"array([2.31443956, 0.3447105 ])"
187,6394,"array([2.6232516 , 0.48023614])"
188,61,"array([2.28107983, 0.295518  ])"
189,6887,"array([2.17346284, 0.30030064])"
190,6754,"array([2.23617902, 0.20060239])"
191,10811,"array([2.31276344, 0.1664111 ])"
192,9288,"array([2.25464134, 0.20983242])"
