# source, target, weight, time
0,1,1,1262454010
0,2,1,1262454010
0,3,1,1262454010
0,4,1,1262454010
0,5,1,1262454010
0,6,1,1262454010
0,7,1,1262454010
0,8,1,1262454010
0,9,1,1262454010
0,10,1,1262454010
0,11,1,1262454010
0,12,1,1262454010
0,13,1,1262454010
0,14,1,1262454010
0,15,1,1262454010
0,16,1,1262454010
0,6,1,1262587114
0,6,1,1262587999
0,45,1,1262589489
0,45,1,1262592991
0,72,1,1262596231
0,72,1,1262598413
0,73,1,1262598974
0,1,1,1262604260
0,73,1,1262605329
0,18,1,1262606945
0,12,1,1262607023
0,12,1,1262607248
0,16,1,1262607362
0,12,1,1262608664
0,45,1,1262615678
0,45,1,1262616380
0,4,1,1262645364
0,5,1,1262645364
0,6,1,1262645364
0,1,1,1262645364
0,2,1,1262645364
0,7,1,1262645364
0,8,1,1262645364
0,9,1,1262645364
0,10,1,1262645364
0,11,1,1262645364
0,12,1,1262645364
0,13,1,1262645364
0,14,1,1262645364
0,3,1,1262645364
0,15,1,1262645364
0,16,1,1262645364
0,14,1,1262683916
0,73,1,1262693788
0,73,1,1262694940
0,84,1,1262697466
0,74,1,1262697811
0,74,1,1262698102
0,17,1,1262699522
0,17,1,1262699632
0,12,1,1262734830
0,3,1,1262734830
0,4,1,1262734830
0,5,1,1262734830
0,6,1,1262734830
0,1,1,1262734830
0,2,1,1262734830
0,7,1,1262734830
0,8,1,1262734830
0,9,1,1262734830
0,10,1,1262734830
0,11,1,1262734830
0,13,1,1262734830
0,14,1,1262734830
0,15,1,1262734830
0,16,1,1262734830
0,5,1,1262734947
0,6,1,1262734947
0,1,1,1262734947
0,9,1,1262734947
0,10,1,1262734947
0,11,1,1262734947
0,12,1,1262734947
0,3,1,1262734947
0,15,1,1262734947
0,37,1,1262735060
0,6,1,1262769432
0,37,1,1262769566
0,6,1,1262770479
0,6,1,1262774028
0,7,1,1262778903
0,34,1,1262779776
0,34,1,1262781677
0,14,1,1262787723
0,9,1,1262848391
0,6,1,1262848391
0,9,1,1262848456
0,6,1,1262848456
0,9,1,1262848514
0,6,1,1262848514
0,9,1,1262853997
0,6,1,1262853997
0,37,1,1262858427
0,6,1,1262865670
0,17,1,1262870063
0,7,1,1262943221
0,36,1,1262943824
0,35,1,1262943824
0,6,1,1262944378
0,58,1,1262958897
0,93,1,1262958897
0,44,1,1262960606
0,111,1,1262960705
0,69,1,1263233141
0,69,1,1263233766
0,7,1,1263245473
0,4,1,1263245473
0,5,1,1263245473
0,6,1,1263245473
0,1,1,1263245473
0,2,1,1263245473
0,8,1,1263245473
0,9,1,1263245473
0,10,1,1263245473
0,11,1,1263245473
0,12,1,1263245473
0,13,1,1263245473
0,14,1,1263245473
0,3,1,1263245473
0,15,1,1263245473
0,16,1,1263245473
0,1,1,1263292625
0,43,1,1263293740
0,6,1,1263307187
0,89,1,1263375568
0,36,1,1263376370
0,89,1,1263465556
0,37,1,1263473705
0,6,1,1263538517
0,37,1,1263538730
0,43,1,1263538730
0,6,1,1263539537
0,6,1,1263542482
0,6,1,1263542533
0,68,1,1263542992
0,67,1,1263542992
0,37,1,1263542992
0,9,1,1263549846
0,6,1,1263549846
0,73,1,1263553481
0,8,1,1263555524
0,73,1,1263563803
0,8,1,1263808205
0,37,1,1263808342
0,13,1,1263814145
0,73,1,1263814739
0,73,1,1263814886
0,13,1,1263816576
0,8,1,1263816576
0,2,1,1263849711
0,12,1,1263849711
0,4,1,1263849711
0,5,1,1263849711
0,6,1,1263849711
0,1,1,1263849711
0,7,1,1263849711
0,8,1,1263849711
0,9,1,1263849711
0,10,1,1263849711
0,11,1,1263849711
0,13,1,1263849711
0,14,1,1263849711
0,3,1,1263849711
0,15,1,1263849711
0,16,1,1263849711
0,49,1,1263903402
0,37,1,1263971694
0,49,1,1263979155
0,37,1,1263979155
0,49,1,1263986272
0,6,1,1263988008
0,37,1,1263988202
0,37,1,1263998799
0,69,1,1264067535
0,69,1,1264067716
0,8,1,1264067807
0,9,1,1264071630
0,8,1,1264073778
0,37,1,1264077514
0,8,1,1264077746
0,53,1,1264421157
0,53,1,1264423947
0,14,1,1264423947
0,55,1,1264423947
0,53,1,1264425869
0,2,1,1264454347
0,7,1,1264454347
0,13,1,1264454347
0,14,1,1264454347
0,3,1,1264454347
0,4,1,1264454347
0,5,1,1264454347
0,6,1,1264454347
0,1,1,1264454347
0,8,1,1264454347
0,9,1,1264454347
0,10,1,1264454347
0,11,1,1264454347
0,12,1,1264454347
0,15,1,1264454347
0,16,1,1264454347
0,88,1,1264498132
0,88,1,1264498292
0,21,1,1264601252
0,21,1,1264603276
0,21,1,1264661705
0,45,1,1264752230
0,37,1,1264752376
0,6,1,1264761512
0,82,1,1264773934
0,37,1,1264773934
0,32,1,1264773934
0,2,1,1264977448
0,8,1,1264977448
0,4,1,1264977448
0,5,1,1264977448
0,6,1,1264977448
0,1,1,1264977448
0,7,1,1264977448
0,9,1,1264977448
0,10,1,1264977448
0,11,1,1264977448
0,12,1,1264977448
0,13,1,1264977448
0,14,1,1264977448
0,3,1,1264977448
0,15,1,1264977448
0,16,1,1264977448
0,37,1,1264977557
0,12,1,1265010357
0,37,1,1265013248
0,56,1,1265017839
0,45,1,1265018387
0,57,1,1265026579
0,16,1,1265029031
0,37,1,1265034944
0,7,1,1265059841
0,4,1,1265059841
0,5,1,1265059841
0,6,1,1265059841
0,1,1,1265059841
0,2,1,1265059841
0,8,1,1265059841
0,9,1,1265059841
0,10,1,1265059841
0,11,1,1265059841
0,12,1,1265059841
0,13,1,1265059841
0,14,1,1265059841
0,3,1,1265059841
0,15,1,1265059841
