# index, name, _pos
0,A,"array([-15.27055781,  -8.41688664])"
1,B,"array([-14.5387531 ,  -8.61396791])"
2,C,"array([-14.58246846,  -7.98389979])"
3,D,"array([-14.62676184,  -8.16650452])"
4,E,"array([-14.95569911,  -8.1568799 ])"
5,F,"array([-14.78498161,  -8.53160726])"
6,G,"array([-14.88893193,  -8.66038226])"
7,H,"array([-15.01528464,  -8.00408274])"
8,I,"array([-15.03799933,  -8.74952827])"
9,J,"array([-14.64552653,  -8.29763791])"
10,K,"array([-16.46239644,  -8.86150964])"
11,L,"array([-14.89769877,  -9.48916128])"
12,M,"array([-16.53045819,  -8.58256117])"
13,N,"array([-15.7184662 ,  -9.59436341])"
14,O,"array([-15.61289501,  -8.41775964])"
15,P,"array([-15.14253605,  -9.44319908])"
16,Q,"array([-15.12250266,  -7.33874122])"
17,R,"array([-15.16767204,  -8.1426268 ])"
18,S,"array([-16.06219045,  -7.84515614])"
19,T,"array([-15.48978677,  -7.34113457])"
20,U,"array([-14.53552242,  -8.74437769])"
21,V,"array([-15.14724422,  -9.09111529])"
22,W,"array([-14.9556816 ,  -8.85316347])"
23,X,"array([-14.21899241,  -7.82830633])"
24,Y,"array([-15.43997241,  -8.29568304])"
25,Z,"array([-15.67657378,  -9.04693869])"
26,AA,"array([-14.80951579,  -7.51405977])"
27,AB,"array([-15.10840848, -10.26809327])"
28,AC,"array([-14.58650342,  -7.30555862])"
29,AD,"array([-16.22071696,  -8.11921283])"
30,AE,"array([-14.52213979,  -9.75509715])"
31,AF,"array([-14.43270929,  -9.47506685])"
32,AG,"array([-13.92104881,  -8.19166353])"
33,AH,"array([-15.97571637,  -9.17261343])"
34,AI,"array([-14.17460367,  -8.64237239])"
35,AJ,"array([-13.97933823,  -8.44023464])"
36,AK,"array([-15.26400114,  -7.09243659])"
37,AL,"array([-14.18961064,  -9.15229304])"
38,AM,"array([-13.74849502,  -7.83256409])"
39,1,"array([-15.04371528,  -8.62282315])"
40,2,"array([-14.6848924 ,  -8.85064016])"
41,3,"array([-14.66398153,  -8.52386912])"
42,4,"array([-14.60291522,  -8.40050963])"
43,5,"array([-15.05023383,  -8.25336184])"
44,6,"array([-15.10811028,  -8.88098066])"
45,7,"array([-14.97034051,  -8.37436919])"
46,8,"array([-14.79479202,  -8.30488047])"
47,9,"array([-14.803493  ,  -8.16330461])"
48,10,"array([-14.86914037,  -8.43596833])"
49,11,"array([-15.20183447,  -8.70175902])"
50,12,"array([-14.89100469,  -7.94725363])"
51,13,"array([-14.39305596,  -8.34680591])"
52,14,"array([-14.68737193,  -8.71964852])"
53,15,"array([-14.81751167,  -7.81449179])"
54,16,"array([-15.22081625,  -8.52405762])"
55,17,"array([-15.35713562,  -8.95183392])"
56,18,"array([-14.2772536 ,  -8.24256955])"
57,19,"array([-14.39009097,  -8.50382075])"
58,20,"array([-14.37034398,  -8.70371994])"
59,21,"array([-14.28831164,  -8.88713681])"
60,22,"array([-14.45590293,  -9.08970427])"
61,23,"array([-14.63102334,  -9.05730173])"
62,24,"array([-15.2645491,  -8.2574812])"
63,25,"array([-14.63001701,  -7.74366322])"
64,26,"array([-15.59844083,  -7.85517087])"
65,27,"array([-15.2831822 ,  -7.95336885])"
66,28,"array([-15.38942742,  -8.68166627])"
67,29,"array([-15.08857863,  -8.45709727])"
68,30,"array([-15.75031724,  -8.00617136])"
69,31,"array([-14.06420519,  -8.84215472])"
70,32,"array([-14.18114364,  -8.07398682])"
71,33,"array([-15.71495848,  -6.9772701 ])"
72,34,"array([-14.68538136,  -9.26763033])"
73,35,"array([-15.38785063,  -7.81364375])"
74,36,"array([-14.47971618,  -7.77529315])"
75,37,"array([-15.54966547,  -8.86555475])"
76,38,"array([-14.95081799,  -7.66480438])"
77,39,"array([-14.7364502 ,  -8.01832333])"
78,40,"array([-15.52900364,  -8.16493999])"
79,41,"array([-15.43249403,  -8.50189656])"
80,42,"array([-15.42372381,  -8.02794859])"
81,43,"array([-15.11280053,  -7.87979741])"
82,44,"array([-15.20104208,  -7.60695673])"
83,45,"array([-15.46683932,  -9.19837132])"
84,46,"array([-14.49664516,  -8.19628593])"
85,47,"array([-15.75508249,  -8.65616433])"
86,48,"array([-15.07083946,  -9.87418857])"
87,49,"array([-15.27200157,  -8.81931881])"
88,50,"array([-15.85485876,  -8.48391889])"
89,51,"array([-14.85359392,  -8.76605751])"
90,52,"array([-15.77444723,  -8.14973999])"
91,53,"array([-16.07844786,  -8.63067987])"
92,54,"array([-15.94955993,  -8.27880084])"
93,55,"array([-14.95013112,  -9.24719001])"
94,56,"array([-14.8310424 ,  -9.01108698])"
95,57,"array([-14.44920346,  -8.93628247])"
