,version,network,N,seeding_method,critical_q
0,empirical,high_tech_company,21,friend,0.21
1,empirical,high_tech_company,21,pair,0.21
2,empirical,high_tech_company,21,random,0.21
3,BA,high_tech_company,21,friend,0.3
4,BA,high_tech_company,21,pair,0.25
5,BA,high_tech_company,21,random,0.26
6,BA,moreno_taro,22,friend,0.5
7,empirical,moreno_taro,22,random,0.34
8,BA,moreno_taro,22,pair,0.5
9,empirical,moreno_taro,22,friend,0.34
10,BA,moreno_taro,22,random,0.35
11,empirical,moreno_taro,22,pair,0.34
12,BA,7th_graders,29,friend,0.23
13,empirical,7th_graders,29,random,0.16
14,BA,7th_graders,29,pair,0.23
15,empirical,7th_graders,29,friend,0.22
16,empirical,7th_graders,29,pair,0.23
17,BA,7th_graders,29,random,0.23
18,empirical,soc-firm-hi-tech,33,pair,0.39
19,empirical,soc-firm-hi-tech,33,random,0.27
20,BA,soc-firm-hi-tech,33,random,0.34
21,BA,soc-firm-hi-tech,33,friend,0.34
22,BA,soc-firm-hi-tech,33,pair,0.26
23,empirical,soc-firm-hi-tech,33,friend,0.42
24,BA,Karate,34,random,0.5
25,BA,Karate,34,pair,0.36
26,BA,Karate,34,friend,0.5
27,empirical,Karate,34,friend,0.51
28,empirical,Karate,34,pair,0.41
29,empirical,Karate,34,random,0.34
30,empirical,law_firm,71,random,0.22
31,BA,law_firm,71,random,0.27
32,empirical,law_firm,71,pair,0.25
33,BA,law_firm,71,pair,0.25
34,BA,law_firm,71,friend,0.27
35,empirical,law_firm,71,friend,0.27
36,empirical,usa.2020.covid.6.00,92,friend,1.0
37,empirical,usa.2020.covid.6.00,92,random,0.39
38,empirical,usa.2020.covid.6.00,92,pair,1.0
39,BA,usa.2020.covid.6.00,92,random,0.6
40,BA,usa.2020.covid.6.00,92,friend,0.99
41,BA,usa.2020.covid.6.00,92,pair,0.99
42,empirical,swingers,96,random,0.46
43,empirical,swingers,96,pair,0.5
44,BA,swingers,96,friend,0.5
45,BA,swingers,96,pair,0.5
46,BA,swingers,96,random,0.5
47,empirical,swingers,96,friend,0.77
48,BA,infect-hyper,113,friend,0.26
49,BA,infect-hyper,113,random,0.23
50,BA,infect-hyper,113,pair,0.22
51,empirical,infect-hyper,113,pair,0.22
52,empirical,infect-hyper,113,friend,0.26
53,empirical,infect-hyper,113,random,0.23
54,empirical,email_company,167,pair,0.28
55,empirical,email_company,167,friend,0.5
56,empirical,email_company,167,random,0.22
57,BA,email_company,167,friend,0.27
58,BA,email_company,167,pair,0.26
59,BA,email_company,167,random,0.24
60,empirical,sgp.2003.sars.1.00,172,pair,1.0
61,empirical,sgp.2003.sars.1.00,172,random,0.53
62,BA,sgp.2003.sars.1.00,172,friend,0.99
